Contract WBS,PWBS,Funding WBS,Cost Center,Fund,PR,PLI ALI,PO DOC
AS42.05.01.LM00.001.01,,,62AS01,SSMX22022D,4200806480,49-1,8600007177
AS42.05.01.LM00.001.01,,,62AS40,SSMX22022D,4200806480,49-2,8600007177
AS42.05.01.LM00.001.01,,,62AS01,SSMX22022D,4200819997,1-8,8600007846
AS42.05.01.LM00.001.01,,,62AS40,SSMX22022D,4200819997,1-9,8600007846
AS42.05.01.LM00.001.01,,,62AS01,SSMX22023D,4200830066,213-1,8600008362
AS42.05.01.REIM.ET9.01,,,62ET10,SPTX22019D,4200701975,1-34,8600002145
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02019R,4200710779,101-21,8600002394
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200721086,100-22,8600002967
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200726604,101-95,8600003200
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200737337,15-1,8600003712
AS42.05.01.REIM.ET9.01,,,62ET50,SCEX22020D,4200755230,123-28,8600004598
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200759987,149-63,8600004902
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200765848,157-1,8600005133
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200768856,1-20,8600005301
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200772041,137-1,8600005427
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02020R,4200775506,101-55,8600005585
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02022R,4200800239,1-61,8600006888
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02022R,4200802935,160-2,8600007021
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02022R,4200806480,49-3,8600007177
AS42.05.01.REIM.ET9.01,,,62ET30,SSMX02022R,4200810296,58-62,8600007367
AS42.05.01.REIM.ET9.01,,,62AS42,SSMX02022R,4200826903,40-1,8600008211
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02022R,4200826903,40-1,8600008211
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02022R,4200833346,119-1,8600008480
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02022R,4200835626,167-1,8600008547
AS42.05.01.REIM.ET9.02,,,62AS01,SSMX02022R,4200838676,178-1,8600008721
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02022R,4200842023,199-1,8600008808
AS42.05.01.REIM.ET9.02,,,62AS01,SSMX02022R,4200845074,265-1,8600008951
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02022R,4200854030,208-1,8600009342
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02023R,4200847920,174-42,8600009024
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02023R,4200854030,148-1,8600009342
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02024R,4200858718,236-1,8600009519
AS42.05.01.REIM.ET9.02,,,62AS42,SSMX02024R,4200860718,1-14,8600009665
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22018D,4200647609,1-78,8600000442
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22018D,4200659507,1-8,8600000788
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22019D,4200683209,1-49,8600001513
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22019D,4200686417,1-39,8600001644
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22019D,4200693148,108-28,8600001887
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22019D,4200708886,1-20,8600002353
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22020D,4200724994,1-1,8600003046
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22021D,4200749975,41-1,8600004302
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22021D,4200759987,246-1,8600004902
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22021D,4200775506,1-38,8600005585
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22022D,4200791978,148-1,8600006484
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22022D,4200794379,55-1,8600006630
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22022D,4200802935,160-1,8600007021
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22023D,4200822105,56-1,8600007983
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22023D,4200824990,100-1,8600008084
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22023D,4200842023,18-1,8600008808
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22024D,4200854030,101-1,8600009342
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22024D,4200858718,174-52,8600009519
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22024D,4200866111,67-1,8600009907
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22024D,4200868371,193-1,8600010016
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22024D,4200877218,302-1,8600010465
AS42.10.01.CMO0.MEG.01,,,62AS40,SSMX22025D,4200884424,61-1,8600010669
EA32.11.01.SSTG.SSC.09,,,62ED01,EXPX22024D,4200851868,168-12,8600009240
EA32.11.02.RPT0.SSC.01,,,62ET01,EXCX22022D,4200806480,148-27,8600007177
